week,eligible_bundles,total_segments_in_eligible_bundles,segments_with_potholes,segments_fixed,segments_unfixed,pct_fixed,pct_unfixed,has_variation,issue
2022-06-25,36,174,4,0,4,0.0,1.0,False,all_unfixed
2022-07-02,30,132,2,1,1,0.5,0.5,True,good_variation
2022-07-09,34,172,6,2,4,0.3333333333333333,0.6666666666666666,True,good_variation
2022-07-16,27,136,3,2,1,0.6666666666666666,0.3333333333333333,True,good_variation
2022-07-23,35,170,6,3,3,0.5,0.5,True,good_variation
2022-07-30,39,179,3,3,0,1.0,0.0,False,all_fixed
2022-08-06,32,155,11,6,5,0.5454545454545454,0.45454545454545453,True,good_variation
2022-08-13,39,192,7,5,2,0.7142857142857143,0.2857142857142857,True,good_variation
2022-08-20,37,166,6,4,2,0.6666666666666666,0.3333333333333333,True,good_variation
2022-08-27,42,205,12,3,9,0.25,0.75,True,good_variation
2022-09-03,50,249,9,6,3,0.6666666666666666,0.3333333333333333,True,good_variation
2022-09-10,28,143,4,2,2,0.5,0.5,True,good_variation
2022-09-17,47,232,8,4,4,0.5,0.5,True,good_variation
2022-09-24,43,227,4,3,1,0.75,0.25,True,good_variation
2022-10-01,38,229,3,0,3,0.0,1.0,False,all_unfixed
2022-10-08,50,253,7,3,4,0.42857142857142855,0.5714285714285714,True,good_variation
2022-10-15,42,205,10,5,5,0.5,0.5,True,good_variation
2022-10-22,44,205,3,1,2,0.3333333333333333,0.6666666666666666,True,good_variation
2022-10-29,23,104,1,0,1,0.0,1.0,False,all_unfixed
2022-11-05,34,171,8,3,5,0.375,0.625,True,good_variation
2022-11-12,49,256,5,2,3,0.4,0.6,True,good_variation
2022-11-19,50,254,4,1,3,0.25,0.75,True,good_variation
2022-11-26,44,207,1,0,1,0.0,1.0,False,all_unfixed
2022-12-03,40,214,1,0,1,0.0,1.0,False,all_unfixed
2022-12-10,42,192,7,0,7,0.0,1.0,False,all_unfixed
2022-12-17,61,279,8,0,8,0.0,1.0,False,all_unfixed
2022-12-24,43,216,6,1,5,0.16666666666666666,0.8333333333333334,True,good_variation
2022-12-31,45,219,6,2,4,0.3333333333333333,0.6666666666666666,True,good_variation
2023-01-07,71,335,30,1,29,0.03333333333333333,0.9666666666666667,True,good_variation
2023-01-14,119,566,59,16,43,0.2711864406779661,0.7288135593220338,True,good_variation
2023-01-21,158,763,48,11,37,0.22916666666666666,0.7708333333333334,True,good_variation
2023-01-28,146,739,37,14,23,0.3783783783783784,0.6216216216216216,True,good_variation
2023-02-04,91,431,28,23,5,0.8214285714285714,0.17857142857142858,True,good_variation
2023-02-11,102,490,20,4,16,0.2,0.8,True,good_variation
2023-02-18,75,357,10,5,5,0.5,0.5,True,good_variation
2023-02-25,76,367,23,4,19,0.17391304347826086,0.8260869565217391,True,good_variation
2023-03-04,111,557,24,4,20,0.16666666666666666,0.8333333333333334,True,good_variation
2023-03-11,83,393,18,0,18,0.0,1.0,False,all_unfixed
2023-03-18,115,555,27,7,20,0.25925925925925924,0.7407407407407407,True,good_variation
2023-03-25,126,612,36,4,32,0.1111111111111111,0.8888888888888888,True,good_variation
2023-04-01,119,564,28,3,25,0.10714285714285714,0.8928571428571429,True,good_variation
2023-04-08,103,500,22,9,13,0.4090909090909091,0.5909090909090909,True,good_variation
2023-04-15,92,462,15,7,8,0.4666666666666667,0.5333333333333333,True,good_variation
2023-04-22,76,381,17,13,4,0.7647058823529411,0.23529411764705882,True,good_variation
2023-04-29,67,329,12,8,4,0.6666666666666666,0.3333333333333333,True,good_variation
2023-05-06,67,313,5,3,2,0.6,0.4,True,good_variation
2023-05-13,48,241,2,1,1,0.5,0.5,True,good_variation
2023-05-20,50,257,5,2,3,0.4,0.6,True,good_variation
2023-05-27,50,233,7,1,6,0.14285714285714285,0.8571428571428571,True,good_variation
2023-06-03,50,231,4,0,4,0.0,1.0,False,all_unfixed
2023-06-10,41,203,4,3,1,0.75,0.25,True,good_variation
2023-06-17,33,154,5,1,4,0.2,0.8,True,good_variation
2023-06-24,50,244,4,1,3,0.25,0.75,True,good_variation
2023-07-01,36,172,3,0,3,0.0,1.0,False,all_unfixed
2023-07-08,38,163,7,3,4,0.42857142857142855,0.5714285714285714,True,good_variation
2023-07-15,46,188,3,1,2,0.3333333333333333,0.6666666666666666,True,good_variation
2023-07-22,41,201,5,3,2,0.6,0.4,True,good_variation
2023-07-29,39,186,1,1,0,1.0,0.0,False,all_fixed
2023-08-05,41,197,5,2,3,0.4,0.6,True,good_variation
2023-08-12,48,245,7,2,5,0.2857142857142857,0.7142857142857143,True,good_variation
2023-08-19,37,164,8,2,6,0.25,0.75,True,good_variation
2023-08-26,56,259,6,1,5,0.16666666666666666,0.8333333333333334,True,good_variation
2023-09-02,46,208,5,0,5,0.0,1.0,False,all_unfixed
2023-09-09,39,218,3,2,1,0.6666666666666666,0.3333333333333333,True,good_variation
2023-09-16,49,220,6,0,6,0.0,1.0,False,all_unfixed
2023-09-23,55,254,5,0,5,0.0,1.0,False,all_unfixed
2023-09-30,41,207,7,3,4,0.42857142857142855,0.5714285714285714,True,good_variation
2023-10-07,43,201,4,1,3,0.25,0.75,True,good_variation
