week,total_eligible,eligible_dh,eligible_non_dh
2025-09-06,28,7,21
2025-09-13,33,14,19
2025-09-20,32,9,23
2025-09-27,31,12,19
2025-10-04,34,13,21
2025-10-11,30,15,15
2025-10-18,38,8,30
2025-10-25,48,21,27
2025-11-01,41,13,28
2025-11-08,42,8,34
2025-11-15,29,8,21
2025-11-22,67,15,52
2025-11-29,62,18,44
2025-12-06,40,15,25
2025-12-13,36,7,29
2025-12-20,33,7,26
2025-12-27,22,7,15
