bundle_id,week_start,total_potholes,unfixed,unfixed_rate,is_dh
53.0,2024-12-14,1,0,0.0,False
53.0,2025-02-08,1,1,1.0,False
53.0,2025-05-03,1,1,1.0,False
53.0,2025-05-10,1,1,1.0,False
53.0,2025-07-26,1,0,0.0,False
53.0,2025-09-20,2,0,0.0,False
53.0,2025-11-15,1,1,1.0,False
53.0,2025-11-29,1,0,0.0,False
53.0,2025-12-20,1,1,1.0,False
54.0,2022-07-23,1,1,1.0,False
54.0,2024-09-07,1,1,1.0,False
54.0,2025-05-31,1,1,1.0,False
54.0,2025-07-05,1,0,0.0,False
56.0,2021-02-20,1,1,1.0,False
56.0,2022-03-26,1,0,0.0,False
56.0,2022-04-30,1,1,1.0,False
56.0,2022-06-11,1,1,1.0,False
56.0,2022-08-06,1,1,1.0,False
56.0,2023-01-14,1,1,1.0,False
56.0,2023-07-29,1,1,1.0,False
56.0,2023-09-16,1,1,1.0,False
56.0,2024-01-20,1,1,1.0,False
56.0,2024-03-16,1,0,0.0,False
56.0,2024-03-23,1,0,0.0,False
56.0,2024-04-06,1,0,0.0,False
56.0,2024-05-25,1,1,1.0,False
56.0,2024-09-07,1,1,1.0,False
56.0,2024-10-26,1,0,0.0,False
56.0,2025-02-15,1,1,1.0,False
56.0,2025-04-05,1,1,1.0,False
56.0,2025-04-26,1,0,0.0,False
56.0,2025-08-30,1,0,0.0,False
56.0,2025-11-29,1,0,0.0,False
57.0,2021-06-12,1,1,1.0,False
57.0,2022-02-26,1,1,1.0,False
57.0,2023-07-08,1,1,1.0,False
60.0,2024-09-21,1,1,1.0,False
60.0,2025-07-26,1,1,1.0,False
60.0,2025-08-02,1,0,0.0,False
60.0,2025-10-11,1,0,0.0,False
61.0,2022-07-23,1,0,0.0,False
61.0,2025-01-04,1,1,1.0,False
61.0,2025-04-26,1,1,1.0,False
61.0,2025-05-03,1,1,1.0,False
71.0,2023-02-25,1,1,1.0,False
71.0,2023-03-25,1,1,1.0,False
86.0,2021-03-20,1,1,1.0,False
86.0,2021-04-17,1,1,1.0,False
86.0,2021-06-19,1,1,1.0,False
86.0,2021-06-26,1,1,1.0,False
86.0,2022-01-01,1,1,1.0,False
86.0,2022-02-26,1,1,1.0,False
86.0,2022-03-12,1,1,1.0,False
86.0,2022-04-30,1,1,1.0,False
86.0,2022-11-12,1,1,1.0,False
