sample,n_segments,avg_pci,avg_income,share_college,share_white,share_hispanic,share_asian,share_black
City Overall,32888,66.23164929120844,60611.398595232306,0.520524963106016,0.4688733091278669,0.2647752121818993,0.1530426460214037,0.04628601938809878
SFH-Eligible Segments,20497,66.75432915831664,59202.47519149144,0.5082650414790387,0.4641299812838329,0.26187445084788563,0.16155737579660537,0.044915609523814674
Bundle Segments,12482,67.80845718901455,58245.790338086845,0.5027185343867506,0.45503291997819717,0.2544934087745301,0.17707939348276303,0.045302169353748804
