bundle_id,total_length_m,avg_segment_length_m,n_segments,std_segment_length_m,total_length_km,avg_segment_length_km
1.0,1075.7183069438736,107.57183069438736,10,79.46376523024223,1.0757183069438736,0.10757183069438736
3.0,1822.7491288633614,202.52768098481795,9,130.69999934023448,1.8227491288633613,0.2025276809848179
5.0,877.7663026330628,125.39518609043753,7,73.53795382369854,0.8777663026330628,0.12539518609043754
6.0,784.4643866785663,112.0663409540809,7,49.267923043849315,0.7844643866785662,0.11206634095408088
12.0,1051.640123610242,131.45501545128025,8,65.17289187328389,1.051640123610242,0.13145501545128024
19.0,1091.2855428074856,136.4106928509357,8,63.92436553585842,1.0912855428074857,0.1364106928509357
22.0,881.7615554191156,125.96593648844508,7,48.611792983074466,0.8817615554191156,0.1259659364884451
23.0,1158.7808871676261,165.54012673823232,7,110.82151001219702,1.1587808871676262,0.16554012673823232
30.0,1136.6638947861384,162.38055639801976,7,126.01041241244779,1.1366638947861385,0.1623805563980198
31.0,1215.0891745516583,173.58416779309405,7,110.8663459336915,1.2150891745516583,0.17358416779309405
32.0,939.9650883903106,187.99301767806213,5,117.35942910419483,0.9399650883903106,0.18799301767806212
35.0,766.9716047593629,127.82860079322715,6,49.078139041577295,0.7669716047593629,0.12782860079322714
39.0,1317.898738592768,164.737342324096,8,78.14815551384149,1.317898738592768,0.164737342324096
42.0,977.027524987659,108.55861388751767,9,60.29866019142533,0.977027524987659,0.10855861388751767
44.0,932.1486651712323,93.21486651712323,10,64.2086404297648,0.9321486651712324,0.09321486651712324
47.0,897.7940758691266,179.5588151738253,5,105.45863290992789,0.8977940758691266,0.17955881517382533
48.0,856.3691025512704,107.0461378189088,8,56.022857530999154,0.8563691025512705,0.10704613781890882
53.0,928.4377009677781,154.73961682796303,6,68.59603558718025,0.9284377009677782,0.15473961682796303
54.0,974.6600547058545,162.44334245097573,6,59.66665926904151,0.9746600547058545,0.16244334245097575
56.0,1352.884221807379,150.32046908970878,9,107.77702435481993,1.352884221807379,0.15032046908970878
57.0,752.0693838731063,188.01734596827657,4,124.4739777382559,0.7520693838731063,0.18801734596827657
60.0,1144.189154842986,127.13212831588733,9,38.58398081226344,1.144189154842986,0.12713212831588733
61.0,1629.8180521640465,271.6363420273411,6,210.9472990661921,1.6298180521640466,0.2716363420273411
65.0,968.652395668008,193.7304791336016,5,64.72330918992606,0.968652395668008,0.19373047913360159
68.0,1144.4943193577667,88.03802456598206,13,43.98670881800659,1.1444943193577668,0.08803802456598206
69.0,950.3405967455737,190.06811934911474,5,155.90328047318977,0.9503405967455737,0.19006811934911474
71.0,1141.6177324049377,142.7022165506172,8,59.52634075237135,1.1416177324049377,0.1427022165506172
82.0,925.9026700347894,132.27181000496992,7,66.69609916725223,0.9259026700347894,0.13227181000496993
83.0,1027.4562616022429,128.43203270028036,8,62.59430605591794,1.027456261602243,0.12843203270028036
85.0,1029.6230423995332,114.4025602666148,9,61.57916137043182,1.0296230423995332,0.1144025602666148
86.0,704.2318430771688,117.3719738461948,6,46.233326938479394,0.7042318430771689,0.11737197384619481
94.0,922.7435472242107,131.82050674631583,7,72.98792742692446,0.9227435472242107,0.13182050674631582
96.0,1240.0572740835746,112.73247946214315,11,21.34449981461072,1.2400572740835745,0.11273247946214314
100.0,868.5636827911388,144.76061379852314,6,90.04648746106366,0.8685636827911387,0.14476061379852312
101.0,1110.9657801704886,111.09657801704887,10,51.66256273723438,1.1109657801704886,0.11109657801704886
102.0,980.5357162686444,108.94841291873826,9,62.608226399186265,0.9805357162686444,0.10894841291873827
110.0,960.4395931821746,120.05494914777182,8,63.109643201152956,0.9604395931821745,0.12005494914777182
114.0,1718.773607613197,156.25214614665427,11,54.808765270694465,1.7187736076131972,0.15625214614665428
127.0,1277.9117261617525,116.17379328743205,11,59.859477577828756,1.2779117261617525,0.11617379328743205
130.0,924.4539436565119,132.06484909378742,7,72.11218839435188,0.924453943656512,0.13206484909378743
133.0,1015.0487854562168,101.50487854562168,10,40.75613002884554,1.0150487854562167,0.10150487854562167
138.0,1412.2820167749528,117.6901680645794,12,39.46490894546488,1.4122820167749528,0.1176901680645794
145.0,986.2956250297453,109.58840278108282,9,61.55986408467972,0.9862956250297453,0.10958840278108281
149.0,996.6399498200012,99.66399498200012,10,33.62833847685177,0.9966399498200013,0.09966399498200013
154.0,1029.736111045725,147.10515872081785,7,71.32588365395026,1.029736111045725,0.14710515872081786
167.0,1185.6915730294345,118.56915730294345,10,49.46388052418142,1.1856915730294344,0.11856915730294344
176.0,1042.1077176644,130.26346470805,8,88.81663703607431,1.0421077176644,0.13026346470805
184.0,1321.8291412059677,220.3048568676613,6,143.99850535558838,1.3218291412059677,0.2203048568676613
190.0,1045.9908866112867,149.4272695158981,7,50.58129972825201,1.0459908866112868,0.1494272695158981
191.0,895.1251856619986,111.89064820774982,8,76.31503571802024,0.8951251856619985,0.11189064820774981
192.0,843.1900265296955,210.79750663242388,4,88.60229064329558,0.8431900265296957,0.21079750663242391
194.0,901.2317540000042,300.41058466666806,3,157.1925988360582,0.9012317540000043,0.3004105846666681
195.0,1157.8644027262976,144.7330503407872,8,82.36042849296061,1.1578644027262976,0.1447330503407872
196.0,1364.4404777891327,170.5550597236416,8,121.86970442844519,1.3644404777891328,0.1705550597236416
197.0,913.7304673174706,130.5329239024958,7,72.07992059076123,0.9137304673174705,0.1305329239024958
201.0,821.8422482245585,164.3684496449117,5,104.6142176729225,0.8218422482245584,0.16436844964491168
208.0,949.7100013531533,118.71375016914416,8,50.52260702272129,0.9497100013531533,0.11871375016914416
