iamfloc,bundle_id,seg_length_m,segment_length_km,sfh_addr_count
SS-029653-PV1,6016.0,41.48614771999361,0.04148614771999361,2.0
SS-017300-PV1,3053.0,153.55421691692447,0.15355421691692447,15.0
SS-012723-PV1,349.0,75.75946243670991,0.0757594624367099,2.0
SS-011801-PV1,368.0,267.0987909942665,0.2670987909942665,25.0
SS-016653-PV1,5453.0,84.54306824064156,0.08454306824064156,4.0
SS-028778-PV1,5527.0,177.64701515765876,0.17764701515765877,13.0
SS-007142-PV1,6003.0,91.11405772116132,0.09111405772116131,2.0
SS-024445-PV1,5911.0,73.81581887255125,0.07381581887255124,6.0
SS-002491-PV1,5196.0,69.62686281378754,0.06962686281378754,12.0
SS-010935-PV1,3081.0,169.3789991949851,0.1693789991949851,17.0
SS-008665-PV1,3210.0,76.60883820109551,0.07660883820109551,5.0
SS-017302-PV1,1085.0,82.99523008526326,0.08299523008526326,4.0
SS-020836-PV1,1130.0,75.25115081019996,0.07525115081019997,9.0
SS-006117-PV1,5523.0,144.1190710325247,0.1441190710325247,10.0
SS-024521-PV1,1195.0,84.80174441670079,0.08480174441670078,3.0
SS-014475-PV1,3237.0,39.77520732686328,0.03977520732686328,3.0
SS-005388-PV1,3247.0,202.17115437482656,0.20217115437482655,21.0
SS-010105-PV1,5485.0,235.81074633666807,0.23581074633666807,19.0
SS-030209-PV1,3411.0,206.25958874017957,0.20625958874017958,11.0
SS-014647-PV1,1412.0,79.28184551282817,0.07928184551282817,10.0
SS-013109-PV1,1435.0,80.43737233293099,0.080437372332931,5.0
SS-030239-PV1,30.0,74.75029579410852,0.07475029579410852,5.0
SS-011716-PV1,1448.0,59.98298872463904,0.059982988724639044,3.0
SS-023955-PV1,700.0,38.17709370501457,0.03817709370501457,6.0
SS-022190-PV1,1451.0,388.56156567822245,0.3885615656782225,3.0
SS-006524-PV1,1484.0,199.64405344253493,0.1996440534425349,8.0
SS-003910-PV1,3265.0,133.4553298256327,0.1334553298256327,10.0
SS-004535-PV1,3085.0,229.25589572035162,0.22925589572035163,33.0
SS-028321-PV1,5572.0,100.55546977501983,0.10055546977501983,8.0
