date,interviewer,task,bundle_id,list_code,sfh_bundle_total
2025-10-19,A,D2DS,2549,30,70
2025-10-19,B,D2DS,3719,30,61
2025-10-19,C,D2DS,3844,30,57
2025-10-19,D,D2DS,2489,30,67
2025-10-19,A,DH,1843,30,107
2025-10-19,B,DH,1736,30,103
2025-10-19,C,DH,1930,30,97
2025-10-19,D,DH,1618,30,118
