date,bundle_id,segment_id,dh_arm,treated_share
2026-02-07,5295,SS-012248-PV1,Partial,0.5
2026-02-07,5295,SS-004271-PV1,Control,0.0
2026-02-07,5295,SS-010172-PV1,Partial,0.5
2026-02-07,5295,SS-011306-PV1,Full,1.0
2026-02-07,5295,SS-009536-PV1,Control,0.0
2026-02-07,5295,SS-004270-PV1,Control,0.0
2026-02-07,3132,SS-030345-PV1,Control,0.0
2026-02-07,3132,SS-004885-PV1,Full,1.0
2026-02-07,3132,SS-019465-PV1,Partial,0.5
2026-02-07,3132,SS-016824-PV1,Partial,0.5
2026-02-07,3132,SS-019463-PV1,Control,0.0
2026-02-07,3132,SS-016826-PV1,Partial,0.5
2026-02-07,3132,SS-019464-PV1,Control,0.0
2026-02-07,3132,SS-030346-PV1,Partial,0.5
2026-02-07,3132,SS-027475-PV1,Full,1.0
2026-02-07,1083,SS-021211-PV1,Partial,0.5
2026-02-07,1083,SS-006634-PV1,Full,1.0
2026-02-07,1083,SS-028236-PV1,Control,0.0
2026-02-07,1083,SS-013923-PV1,Partial,0.5
2026-02-07,1083,SS-013924-PV1,Control,0.0
2026-02-07,3328,SS-018301-PV1,Partial,0.5
2026-02-07,3328,SS-001820-PV1,Control,0.0
2026-02-07,3328,SS-018300-PV1,Control,0.0
2026-02-07,3328,SS-012045-PV1,Control,0.0
2026-02-07,3328,SS-001817-PV1,Full,1.0
2026-02-07,3328,SS-001819-PV1,Partial,0.5
2026-02-07,3328,SS-012046-PV1,Full,1.0
2026-02-07,5808,SS-012820-PV1,Full,1.0
2026-02-07,5808,SS-019655-PV1,Partial,0.5
2026-02-07,5808,SS-024267-PV1,Partial,0.5
2026-02-07,5808,SS-019654-PV1,Control,0.0
2026-02-07,5808,SS-012819-PV1,Partial,0.5
2026-02-07,5808,SS-009002-PV1,Partial,0.5
2026-02-07,5808,SS-031320-PV1,Partial,0.5
2026-02-07,5808,SS-019656-PV1,Full,1.0
2026-02-07,2369,SS-016441-PV1,Full,1.0
2026-02-07,2369,SS-027519-PV1,Partial,0.5
2026-02-07,2369,SS-013258-PV1,Full,1.0
2026-02-07,2369,SS-013259-PV1,Partial,0.5
2026-02-07,2369,SS-027513-PV1,Partial,0.5
2026-02-07,2369,SS-016440-PV1,Control,0.0
