date,bundle_id,segment_id,dh_arm,treated_share
2026-05-16,1463,SS-004074-PV1,Partial,0.5
2026-05-16,1463,SS-004086-PV1,Control,0.0
2026-05-16,1463,SS-004087-PV1,Control,0.0
2026-05-16,1463,SS-004075-PV1,Full,1.0
2026-05-16,1463,SS-025047-PV1,Control,0.0
2026-05-16,1463,SS-025043-PV1,Control,0.0
2026-05-16,1463,SS-011414-PV1,Control,0.0
2026-05-16,1463,SS-004073-PV1,Full,1.0
2026-05-16,3516,SS-017268-PV1,Partial,0.5
2026-05-16,3516,SS-006797-PV1,Partial,0.5
2026-05-16,3516,SS-009349-PV1,Control,0.0
2026-05-16,3516,SS-002600-PV1,Control,0.0
2026-05-16,3516,SS-006796-PV1,Control,0.0
2026-05-16,3516,SS-027970-PV1,Partial,0.5
2026-05-16,3516,SS-001985-PV1,Full,1.0
2026-05-16,3516,SS-002595-PV1,Control,0.0
2026-05-16,5330,SS-029542-PV1,Full,1.0
2026-05-16,5330,SS-026081-PV1,Control,0.0
2026-05-16,5330,SS-016757-PV1,Control,0.0
2026-05-16,5330,SS-029543-PV1,Control,0.0
2026-05-16,5330,SS-029541-PV1,Partial,0.5
2026-05-16,5330,SS-026075-PV1,Control,0.0
2026-05-16,5330,SS-016756-PV1,Control,0.0
2026-05-16,5330,SS-020332-PV1,Control,0.0
2026-05-16,3588,SS-016377-PV1,Full,1.0
2026-05-16,3588,SS-016379-PV1,Partial,0.5
2026-05-16,3588,SS-016378-PV1,Full,1.0
2026-05-16,3588,SS-016380-PV1,Full,1.0
2026-05-16,3588,SS-028223-PV1,Control,0.0
2026-05-16,5797,SS-019661-PV1,Control,0.0
2026-05-16,5797,SS-007027-PV1,Control,0.0
2026-05-16,5797,SS-015449-PV1,Partial,0.5
2026-05-16,5797,SS-028281-PV1,Partial,0.5
2026-05-16,5797,SS-019660-PV1,Partial,0.5
2026-05-16,5797,SS-024721-PV1,Full,1.0
2026-05-16,5797,SS-015453-PV1,Full,1.0
2026-05-16,2357,SS-027322-PV1,Partial,0.5
2026-05-16,2357,SS-016209-PV1,Full,1.0
2026-05-16,2357,SS-030352-PV1,Control,0.0
2026-05-16,2357,SS-030351-PV1,Partial,0.5
2026-05-16,2357,SS-030353-PV1,Control,0.0
2026-05-16,2357,SS-030350-PV1,Control,0.0
