date,bundle_id,segment_id,dh_arm,treated_share
2026-04-04,2968,SS-021301-PV1,Partial,0.5
2026-04-04,2968,SS-011825-PV1,Control,0.0
2026-04-04,2968,SS-021302-PV1,Control,0.0
2026-04-04,2968,SS-021300-PV1,Full,1.0
2026-04-04,2968,SS-011827-PV1,Control,0.0
2026-04-04,2968,SS-013296-PV1,Control,0.0
2026-04-04,2968,SS-002161-PV1,Control,0.0
2026-04-04,2968,SS-011826-PV1,Full,1.0
2026-04-04,2968,SS-011824-PV1,Partial,0.5
2026-04-04,2968,SS-021303-PV1,Partial,0.5
2026-04-04,5821,SS-029232-PV1,Control,0.0
2026-04-04,5821,SS-001211-PV1,Control,0.0
2026-04-04,5821,SS-029231-PV1,Control,0.0
2026-04-04,5821,SS-012259-PV1,Partial,0.5
2026-04-04,5821,SS-028971-PV1,Full,1.0
2026-04-04,5821,SS-023415-PV1,Control,0.0
2026-04-04,5821,SS-028972-PV1,Full,1.0
2026-04-04,5821,SS-001210-PV1,Control,0.0
2026-04-04,5821,SS-020658-PV1,Control,0.0
2026-04-04,5222,SS-011930-PV1,Control,0.0
2026-04-04,5222,SS-004474-PV1,Partial,0.5
2026-04-04,5222,SS-021148-PV1,Control,0.0
2026-04-04,5222,SS-011932-PV1,Control,0.0
2026-04-04,5222,SS-011931-PV1,Control,0.0
2026-04-04,5222,SS-011933-PV1,Full,1.0
2026-04-04,5222,SS-004855-PV1,Partial,0.5
2026-04-04,5222,SS-004854-PV1,Full,1.0
2026-04-04,5222,SS-005015-PV1,Full,1.0
2026-04-04,5222,SS-004475-PV1,Control,0.0
2026-04-04,5222,SS-021149-PV1,Control,0.0
2026-04-04,1730,SS-017497-PV1,Control,0.0
2026-04-04,1730,SS-022216-PV1,Partial,0.5
2026-04-04,1730,SS-017499-PV1,Partial,0.5
2026-04-04,1730,SS-023927-PV1,Partial,0.5
2026-04-04,1730,SS-017498-PV1,Full,1.0
2026-04-04,1705,SS-012094-PV1,Full,1.0
2026-04-04,1705,SS-010412-PV1,Partial,0.5
2026-04-04,1705,SS-009915-PV1,Full,1.0
2026-04-04,1705,SS-010851-PV1,Control,0.0
2026-04-04,1705,SS-009914-PV1,Partial,0.5
2026-04-04,1705,SS-010413-PV1,Control,0.0
2026-04-04,1705,SS-010852-PV1,Control,0.0
2026-04-04,2360,SS-004242-PV1,Partial,0.5
2026-04-04,2360,SS-009358-PV1,Control,0.0
2026-04-04,2360,SS-004237-PV1,Control,0.0
2026-04-04,2360,SS-007930-PV1,Partial,0.5
