date,bundle_id,segment_id,dh_arm,treated_share
2026-06-13,3099,SS-023881-PV1,Partial,0.5
2026-06-13,3099,SS-025201-PV1,Control,0.0
2026-06-13,3099,SS-025212-PV1,Control,0.0
2026-06-13,3099,SS-025202-PV1,Full,1.0
2026-06-13,3099,SS-025172-PV1,Control,0.0
2026-06-13,5214,SS-014182-PV1,Control,0.0
2026-06-13,5214,SS-005097-PV1,Control,0.0
2026-06-13,5214,SS-019473-PV1,Full,1.0
2026-06-13,5214,SS-015555-PV1,Partial,0.5
2026-06-13,5214,SS-005555-PV1,Partial,0.5
2026-06-13,5214,SS-010055-PV1,Control,0.0
2026-06-13,5214,SS-015477-PV1,Control,0.0
2026-06-13,5214,SS-015556-PV1,Control,0.0
2026-06-13,5214,SS-013125-PV1,Partial,0.5
2026-06-13,5214,SS-019472-PV1,Full,1.0
2026-06-13,5214,SS-005098-PV1,Control,0.0
2026-06-13,5214,SS-013124-PV1,Full,1.0
2026-06-13,5214,SS-019471-PV1,Control,0.0
2026-06-13,5261,SS-001665-PV1,Control,0.0
2026-06-13,5261,SS-021807-PV1,Control,0.0
2026-06-13,5261,SS-021469-PV1,Partial,0.5
2026-06-13,5261,SS-024156-PV1,Control,0.0
2026-06-13,5261,SS-024155-PV1,Control,0.0
2026-06-13,5261,SS-021467-PV1,Control,0.0
2026-06-13,5261,SS-021468-PV1,Full,1.0
2026-06-13,5261,SS-024307-PV1,Partial,0.5
2026-06-13,800,SS-018185-PV1,Full,1.0
2026-06-13,800,SS-017459-PV1,Full,1.0
2026-06-13,800,SS-017458-PV1,Control,0.0
2026-06-13,800,SS-006980-PV1,Control,0.0
2026-06-13,800,SS-017457-PV1,Control,0.0
2026-06-13,800,SS-013566-PV1,Partial,0.5
2026-06-13,800,SS-017456-PV1,Partial,0.5
2026-06-13,800,SS-023148-PV1,Partial,0.5
2026-06-13,800,SS-013567-PV1,Full,1.0
2026-06-13,1700,SS-007113-PV1,Full,1.0
2026-06-13,1700,SS-017083-PV1,Partial,0.5
2026-06-13,1700,SS-007112-PV1,Full,1.0
2026-06-13,1700,SS-007114-PV1,Control,0.0
2026-06-13,1700,SS-003462-PV1,Partial,0.5
2026-06-13,1700,SS-003461-PV1,Control,0.0
2026-06-13,1700,SS-029244-PV1,Control,0.0
2026-06-13,1700,SS-017082-PV1,Partial,0.5
2026-06-13,1700,SS-025798-PV1,Control,0.0
2026-06-13,2354,SS-011803-PV1,Control,0.0
2026-06-13,2354,SS-028262-PV1,Partial,0.5
2026-06-13,2354,SS-028261-PV1,Partial,0.5
2026-06-13,2354,SS-003509-PV1,Control,0.0
2026-06-13,2354,SS-007047-PV1,Full,1.0
2026-06-13,2354,SS-003508-PV1,Full,1.0
2026-06-13,2354,SS-004765-PV1,Full,1.0
2026-06-13,2354,SS-018032-PV1,Control,0.0
2026-06-13,2354,SS-007046-PV1,Control,0.0
