date,bundle_id,segment_id,dh_arm,treated_share
2026-07-11,1304,SS-024562-PV1,Partial,0.5
2026-07-11,1304,SS-010536-PV1,Control,0.0
2026-07-11,1304,SS-025504-PV1,Control,0.0
2026-07-11,1304,SS-010533-PV1,Full,1.0
2026-07-11,1304,SS-025508-PV1,Control,0.0
2026-07-11,1304,SS-010534-PV1,Control,0.0
2026-07-11,1304,SS-012435-PV1,Control,0.0
2026-07-11,1304,SS-025509-PV1,Full,1.0
2026-07-11,1304,SS-010535-PV1,Partial,0.5
2026-07-11,1304,SS-026904-PV1,Partial,0.5
2026-07-11,1304,SS-026905-PV1,Control,0.0
2026-07-11,5258,SS-009528-PV1,Control,0.0
2026-07-11,5258,SS-012434-PV1,Control,0.0
2026-07-11,5258,SS-013708-PV1,Partial,0.5
2026-07-11,5258,SS-011529-PV1,Full,1.0
2026-07-11,5258,SS-023029-PV1,Control,0.0
2026-07-11,5258,SS-012437-PV1,Full,1.0
2026-07-11,5258,SS-011530-PV1,Control,0.0
2026-07-11,1538,SS-000549-PV1,Control,0.0
2026-07-11,1538,SS-000550-PV1,Control,0.0
2026-07-11,1538,SS-000552-PV1,Partial,0.5
2026-07-11,1538,SS-011199-PV1,Control,0.0
2026-07-11,3584,SS-013994-PV1,Control,0.0
2026-07-11,3584,SS-012602-PV1,Control,0.0
2026-07-11,3584,SS-014157-PV1,Full,1.0
2026-07-11,1718,SS-029237-PV1,Partial,0.5
2026-07-11,1718,SS-009058-PV1,Full,1.0
2026-07-11,1718,SS-009057-PV1,Full,1.0
2026-07-11,1718,SS-029238-PV1,Control,0.0
2026-07-11,1718,SS-010152-PV1,Control,0.0
2026-07-11,1718,SS-010151-PV1,Control,0.0
2026-07-11,2412,SS-014602-PV1,Partial,0.5
2026-07-11,2412,SS-014601-PV1,Partial,0.5
2026-07-11,2412,SS-028116-PV1,Partial,0.5
2026-07-11,2412,SS-024305-PV1,Full,1.0
