date,bundle_id,segment_id,dh_arm,treated_share
2026-02-14,3434,SS-026322-PV1,Partial,0.5
2026-02-14,3434,SS-004077-PV1,Control,0.0
2026-02-14,3434,SS-026321-PV1,Control,0.0
2026-02-14,3434,SS-026320-PV1,Full,1.0
2026-02-14,3434,SS-011608-PV1,Control,0.0
2026-02-14,3434,SS-004076-PV1,Control,0.0
2026-02-14,3434,SS-004088-PV1,Control,0.0
2026-02-14,3434,SS-011609-PV1,Full,1.0
2026-02-14,5724,SS-013184-PV1,Partial,0.5
2026-02-14,5724,SS-026317-PV1,Partial,0.5
2026-02-14,5724,SS-013187-PV1,Control,0.0
2026-02-14,5724,SS-014181-PV1,Control,0.0
2026-02-14,5724,SS-013185-PV1,Control,0.0
2026-02-14,5724,SS-026316-PV1,Partial,0.5
2026-02-14,5724,SS-019838-PV1,Full,1.0
2026-02-14,5724,SS-014183-PV1,Control,0.0
2026-02-14,5724,SS-013186-PV1,Full,1.0
2026-02-14,871,SS-030187-PV1,Control,0.0
2026-02-14,871,SS-028606-PV1,Control,0.0
2026-02-14,871,SS-028605-PV1,Control,0.0
2026-02-14,871,SS-030185-PV1,Partial,0.5
2026-02-14,871,SS-028607-PV1,Control,0.0
2026-02-14,871,SS-030186-PV1,Control,0.0
2026-02-14,3306,SS-017376-PV1,Control,0.0
2026-02-14,3306,SS-007626-PV1,Full,1.0
2026-02-14,3306,SS-000880-PV1,Partial,0.5
2026-02-14,3306,SS-013230-PV1,Full,1.0
2026-02-14,3306,SS-007627-PV1,Full,1.0
2026-02-14,3306,SS-007909-PV1,Control,0.0
2026-02-14,3306,SS-017375-PV1,Control,0.0
2026-02-14,5809,SS-020736-PV1,Control,0.0
2026-02-14,5809,SS-004574-PV1,Partial,0.5
2026-02-14,5809,SS-004573-PV1,Partial,0.5
2026-02-14,5809,SS-002581-PV1,Partial,0.5
2026-02-14,5809,SS-030132-PV1,Full,1.0
2026-02-14,5809,SS-030149-PV1,Full,1.0
2026-02-14,5809,SS-009533-PV1,Partial,0.5
2026-02-14,2369,SS-016441-PV1,Full,1.0
2026-02-14,2369,SS-027519-PV1,Control,0.0
2026-02-14,2369,SS-013258-PV1,Partial,0.5
2026-02-14,2369,SS-013259-PV1,Control,0.0
2026-02-14,2369,SS-027513-PV1,Control,0.0
2026-02-14,2369,SS-016440-PV1,Partial,0.5
