date,bundle_id,segment_id,dh_arm,treated_share
2026-08-15,6007,SS-034597-PV1,Partial,0.5
2026-08-15,6007,SS-034599-PV1,Control,0.0
2026-08-15,6007,SS-034598-PV1,Control,0.0
2026-08-15,6007,SS-034596-PV1,Full,1.0
2026-08-15,6007,SS-034600-PV1,Control,0.0
2026-08-15,5165,SS-010680-PV1,Control,0.0
2026-08-15,5165,SS-008791-PV1,Control,0.0
2026-08-15,5165,SS-010320-PV1,Full,1.0
2026-08-15,5165,SS-010681-PV1,Partial,0.5
2026-08-15,5165,SS-010319-PV1,Partial,0.5
2026-08-15,5165,SS-009187-PV1,Control,0.0
2026-08-15,5165,SS-009188-PV1,Control,0.0
2026-08-15,5165,SS-010318-PV1,Control,0.0
2026-08-15,5165,SS-010679-PV1,Partial,0.5
2026-08-15,3345,SS-015463-PV1,Full,1.0
2026-08-15,3345,SS-007301-PV1,Control,0.0
2026-08-15,3345,SS-018869-PV1,Full,1.0
2026-08-15,3345,SS-013827-PV1,Control,0.0
2026-08-15,3345,SS-013520-PV1,Control,0.0
2026-08-15,3345,SS-015912-PV1,Control,0.0
2026-08-15,3345,SS-015461-PV1,Partial,0.5
2026-08-15,3345,SS-018871-PV1,Control,0.0
2026-08-15,3345,SS-015462-PV1,Control,0.0
2026-08-15,3345,SS-018868-PV1,Control,0.0
2026-08-15,3345,SS-007314-PV1,Full,1.0
2026-08-15,19,SS-015260-PV1,Partial,0.5
2026-08-15,19,SS-005016-PV1,Full,1.0
2026-08-15,19,SS-015259-PV1,Full,1.0
2026-08-15,19,SS-005017-PV1,Control,0.0
2026-08-15,19,SS-025956-PV1,Control,0.0
2026-08-15,19,SS-024811-PV1,Control,0.0
2026-08-15,19,SS-025954-PV1,Partial,0.5
2026-08-15,19,SS-025955-PV1,Partial,0.5
2026-08-15,5398,SS-014590-PV1,Partial,0.5
2026-08-15,5398,SS-007179-PV1,Full,1.0
2026-08-15,5398,SS-011960-PV1,Full,1.0
2026-08-15,5398,SS-007178-PV1,Partial,0.5
2026-08-15,5398,SS-014589-PV1,Full,1.0
2026-08-15,5398,SS-014591-PV1,Control,0.0
2026-08-15,5778,SS-004436-PV1,Partial,0.5
2026-08-15,5778,SS-017941-PV1,Control,0.0
2026-08-15,5778,SS-004434-PV1,Control,0.0
2026-08-15,5778,SS-017944-PV1,Partial,0.5
2026-08-15,5778,SS-004435-PV1,Control,0.0
