date,bundle_id,segment_id,dh_arm,treated_share
2026-07-18,341,SS-019523-PV1,Partial,0.5
2026-07-18,341,SS-021835-PV1,Control,0.0
2026-07-18,341,SS-019522-PV1,Control,0.0
2026-07-18,341,SS-001944-PV1,Full,1.0
2026-07-18,341,SS-020552-PV1,Control,0.0
2026-07-18,341,SS-020553-PV1,Control,0.0
2026-07-18,278,SS-019274-PV1,Control,0.0
2026-07-18,278,SS-019222-PV1,Full,1.0
2026-07-18,278,SS-019273-PV1,Partial,0.5
2026-07-18,278,SS-019270-PV1,Partial,0.5
2026-07-18,278,SS-019276-PV1,Control,0.0
2026-07-18,278,SS-019268-PV1,Control,0.0
2026-07-18,5578,SS-003835-PV1,Control,0.0
2026-07-18,5578,SS-008140-PV1,Partial,0.5
2026-07-18,5578,SS-008138-PV1,Full,1.0
2026-07-18,5578,SS-008139-PV1,Control,0.0
2026-07-18,5578,SS-003834-PV1,Full,1.0
2026-07-18,5578,SS-008141-PV1,Control,0.0
2026-07-18,5578,SS-015817-PV1,Control,0.0
2026-07-18,5858,SS-008894-PV1,Control,0.0
2026-07-18,5858,SS-017956-PV1,Partial,0.5
2026-07-18,5858,SS-024951-PV1,Control,0.0
2026-07-18,5858,SS-017955-PV1,Control,0.0
2026-07-18,5858,SS-018241-PV1,Control,0.0
2026-07-18,5858,SS-004384-PV1,Full,1.0
2026-07-18,5858,SS-024950-PV1,Partial,0.5
2026-07-18,5814,SS-026283-PV1,Full,1.0
2026-07-18,5814,SS-014262-PV1,Full,1.0
2026-07-18,5814,SS-014263-PV1,Control,0.0
2026-07-18,5814,SS-026282-PV1,Control,0.0
2026-07-18,5814,SS-004496-PV1,Control,0.0
2026-07-18,5814,SS-026280-PV1,Partial,0.5
2026-07-18,5814,SS-014267-PV1,Partial,0.5
2026-07-18,5814,SS-026281-PV1,Partial,0.5
2026-07-18,2423,SS-013130-PV1,Full,1.0
2026-07-18,2423,SS-001899-PV1,Full,1.0
2026-07-18,2423,SS-014922-PV1,Partial,0.5
2026-07-18,2423,SS-001901-PV1,Full,1.0
2026-07-18,2423,SS-022109-PV1,Control,0.0
2026-07-18,2423,SS-001900-PV1,Partial,0.5
2026-07-18,2423,SS-014921-PV1,Control,0.0
2026-07-18,2423,SS-013131-PV1,Control,0.0
2026-07-18,2423,SS-013129-PV1,Partial,0.5
