date,interviewer,task,bundle_id,list_code,sfh_bundle_total
2025-10-30,A,D2DS,2337,30,102
2025-10-30,B,D2DS,2609,30,159
2025-10-30,C,D2DS,2303,30,64
2025-10-30,D,D2DS,1813,30,106
2025-10-30,A,DH,567,30,59
2025-10-30,B,DH,1386,30,53
2025-10-30,C,DH,562,30,70
2025-10-30,D,DH,2346,30,95
