date,interviewer,task,bundle_id,list_code,sfh_bundle_total
2026-02-14,A,DH,3306,30,72
2026-02-14,A,DH,5800,30,83
2026-02-14,A,DH,6011,30,83
2026-02-14,A,DH,5724,30,73
2026-02-14,B,DH,2315,30,86
2026-02-14,B,DH,2598,30,78
2026-02-14,B,DH,3434,30,80
2026-02-14,B,DH,2164,30,87
2026-02-14,C,DH,1404,30,73
2026-02-14,C,DH,1728,30,81
2026-02-14,C,DH,1133,30,87
2026-02-14,C,DH,5660,30,83
2026-02-14,D,DH,1319,30,87
2026-02-14,D,DH,5668,30,88
2026-02-14,D,DH,3088,30,82
2026-02-14,D,DH,492,30,83
2026-02-14,E,DH,3406,30,79
2026-02-14,E,DH,3632,30,83
2026-02-14,E,DH,3013,30,82
2026-02-14,E,DH,6000,30,83
2026-02-14,F,DH,5689,30,82
2026-02-14,F,DH,2148,30,83
2026-02-14,F,DH,1014,30,86
2026-02-14,F,DH,5415,30,73
