date,bundle_id,segment_id,dh_arm,treated_share
2026-04-25,434,SS-014628-PV1,Partial,0.5
2026-04-25,434,SS-014629-PV1,Control,0.0
2026-04-25,434,SS-010315-PV1,Control,0.0
2026-04-25,434,SS-018657-PV1,Full,1.0
2026-04-25,434,SS-018656-PV1,Control,0.0
2026-04-25,154,SS-024277-PV1,Control,0.0
2026-04-25,154,SS-020533-PV1,Control,0.0
2026-04-25,154,SS-020531-PV1,Full,1.0
2026-04-25,154,SS-020532-PV1,Partial,0.5
2026-04-25,154,SS-024278-PV1,Partial,0.5
2026-04-25,154,SS-024124-PV1,Control,0.0
2026-04-25,154,SS-020537-PV1,Control,0.0
2026-04-25,841,SS-019818-PV1,Control,0.0
2026-04-25,841,SS-025841-PV1,Partial,0.5
2026-04-25,841,SS-019819-PV1,Full,1.0
2026-04-25,841,SS-025843-PV1,Control,0.0
2026-04-25,841,SS-019822-PV1,Full,1.0
2026-04-25,841,SS-006168-PV1,Control,0.0
2026-04-25,841,SS-019817-PV1,Control,0.0
2026-04-25,841,SS-025842-PV1,Control,0.0
2026-04-25,841,SS-006167-PV1,Partial,0.5
2026-04-25,841,SS-019816-PV1,Control,0.0
2026-04-25,290,SS-017655-PV1,Control,0.0
2026-04-25,290,SS-003018-PV1,Control,0.0
2026-04-25,290,SS-003019-PV1,Full,1.0
2026-04-25,290,SS-010425-PV1,Partial,0.5
2026-04-25,290,SS-006983-PV1,Full,1.0
2026-04-25,290,SS-003353-PV1,Full,1.0
2026-04-25,290,SS-003351-PV1,Control,0.0
2026-04-25,290,SS-015172-PV1,Control,0.0
2026-04-25,290,SS-006982-PV1,Control,0.0
2026-04-25,290,SS-003796-PV1,Partial,0.5
2026-04-25,290,SS-003352-PV1,Partial,0.5
2026-04-25,5803,SS-025088-PV1,Partial,0.5
2026-04-25,5803,SS-012739-PV1,Full,1.0
2026-04-25,5803,SS-012738-PV1,Full,1.0
2026-04-25,5803,SS-008898-PV1,Partial,0.5
2026-04-25,5803,SS-012736-PV1,Full,1.0
2026-04-25,2414,SS-021257-PV1,Control,0.0
2026-04-25,2414,SS-021259-PV1,Partial,0.5
2026-04-25,2414,SS-012199-PV1,Control,0.0
2026-04-25,2414,SS-021262-PV1,Control,0.0
2026-04-25,2414,SS-012196-PV1,Partial,0.5
2026-04-25,2414,SS-012198-PV1,Control,0.0
2026-04-25,2414,SS-021258-PV1,Control,0.0
2026-04-25,2414,SS-012197-PV1,Partial,0.5
