date,interviewer,task,bundle_id,list_code,sfh_bundle_total
2026-01-17,A,D2DS,3166,30,18
2026-01-17,B,D2DS,3383,30,14
2026-01-17,C,D2DS,5103,30,26
2026-01-17,D,D2DS,3367,30,16
2026-01-17,E,D2DS,2046,30,14
2026-01-17,F,D2DS,5602,30,30
2026-01-17,A,DH,304,30,18
2026-01-17,B,DH,2386,30,4
2026-01-17,C,DH,3540,30,21
2026-01-17,D,DH,3520,30,10
2026-01-17,E,DH,3586,30,20
2026-01-17,F,DH,5812,30,14
