Variable,D2DS,N (D2DS),Non-D2DS,N (Non-D2DS),Difference,Std Error,p-value,Significant
PCI,60.049058394160575,1370,66.80414976599064,641,-6.755091371830069,1.235380263078348,5.4083555288381416e-08,True
Per Capita Income,57508.37626628075,1382,57637.61705426357,645,-129.24078798281698,1131.3953335552485,0.9090699047328841,False
Share College+,0.47940380932227994,1382,0.5007082670053742,645,-0.021304457683094247,0.009535099415744614,0.02562955109805767,True
Share Hispanic,0.26065362014794413,1382,0.2594802194971534,645,0.0011734006507907457,0.009847509793014925,0.905172043542112,False
Share White (NH),0.4394077750412427,1382,0.47799350948473646,645,-0.03858573444349378,0.01233727825418725,0.0018043631543867447,True
Share Black (NH),0.056924187234057864,1382,0.051141432043053124,645,0.00578275519100474,0.0035837076597574733,0.10686011006554465,False
Share Asian (NH),0.17336097714153306,1382,0.14244993597787803,645,0.030911041163655034,0.006715588141360869,4.514509308628812e-06,True
