date,bundle_id,segment_id,dh_arm,treated_share
2026-01-10,5418,SS-029525-PV1,Control,0.0
2026-01-10,363,SS-004116-PV1,Control,0.0
2026-01-10,3233,SS-014339-PV1,Control,0.0
2026-01-10,5418,SS-029526-PV1,Control,0.0
2026-01-10,3403,SS-021758-PV1,Control,0.0
2026-01-10,3108,SS-004128-PV1,Control,0.0
2026-01-10,1713,SS-015032-PV1,Control,0.0
2026-01-10,2355,SS-030279-PV1,Control,0.0
2026-01-10,6006,SS-000903-PV1,Control,0.0
2026-01-10,5671,SS-024861-PV1,Control,0.0
2026-01-10,1935,SS-010563-PV1,Control,0.0
2026-01-10,3108,SS-004146-PV1,Control,0.0
2026-01-10,2653,SS-031586-PV1,Control,0.0
2026-01-10,5687,SS-002099-PV1,Control,0.0
2026-01-10,3022,SS-016102-PV1,Control,0.0
2026-01-10,1935,SS-010562-PV1,Control,0.0
2026-01-10,2653,SS-031579-PV1,Control,0.0
2026-01-10,3403,SS-021759-PV1,Control,0.0
2026-01-10,2199,SS-023194-PV1,Control,0.0
2026-01-10,3108,SS-004125-PV1,Control,0.0
2026-01-10,6006,SS-017160-PV1,Control,0.0
2026-01-10,1935,SS-008617-PV1,Control,0.0
2026-01-10,3233,SS-022806-PV1,Control,0.0
2026-01-10,2199,SS-006947-PV1,Control,0.0
2026-01-10,1935,SS-010582-PV1,Control,0.0
2026-01-10,1713,SS-028411-PV1,Control,0.0
2026-01-10,2653,SS-031581-PV1,Control,0.0
2026-01-10,5418,SS-019884-PV1,Control,0.0
2026-01-10,5671,SS-026489-PV1,Control,0.0
2026-01-10,5994,SS-012901-PV1,Control,0.0
2026-01-10,1713,SS-011284-PV1,Control,0.0
2026-01-10,6006,SS-000887-PV1,Control,0.0
2026-01-10,5418,SS-015019-PV1,Control,0.0
2026-01-10,3233,SS-022809-PV1,Control,0.0
2026-01-10,3022,SS-033274-PV1,Control,0.0
2026-01-10,2355,SS-002201-PV1,Control,0.0
2026-01-10,3233,SS-003602-PV1,Control,0.0
2026-01-10,2355,SS-030278-PV1,Control,0.0
2026-01-10,6006,SS-000902-PV1,Control,0.0
2026-01-10,1935,SS-018000-PV1,Control,0.0
2026-01-10,3108,SS-002971-PV1,Control,0.0
2026-01-10,3077,SS-003361-PV1,Control,0.0
2026-01-10,2185,SS-006109-PV1,Control,0.0
2026-01-10,3108,SS-012081-PV1,Control,0.0
2026-01-10,2185,SS-020249-PV1,Control,0.0
2026-01-10,2199,SS-006949-PV1,Control,0.0
2026-01-10,3022,SS-009461-PV1,Control,0.0
2026-01-10,5994,SS-016201-PV1,Control,0.0
2026-01-10,3022,SS-009462-PV1,Control,0.0
2026-01-10,5687,SS-023447-PV1,Control,0.0
2026-01-10,5687,SS-006985-PV1,Control,0.0
2026-01-10,2355,SS-002202-PV1,Control,0.0
2026-01-10,5994,SS-016202-PV1,Control,0.0
2026-01-10,1935,SS-026537-PV1,Control,0.0
2026-01-10,3108,SS-022728-PV1,Control,0.0
2026-01-10,5110,SS-007472-PV1,Control,0.0
2026-01-10,363,SS-004117-PV1,Control,0.0
2026-01-10,3077,SS-007922-PV1,Control,0.0
2026-01-10,2653,SS-031582-PV1,Control,0.0
2026-01-10,5110,SS-007471-PV1,Control,0.0
2026-01-10,1713,SS-015030-PV1,Control,0.0
2026-01-10,3077,SS-021317-PV1,Control,0.0
2026-01-10,363,SS-011799-PV1,Control,0.0
2026-01-10,1604,SS-001157-PV1,Control,0.0
2026-01-10,5994,SS-004138-PV1,Control,0.0
2026-01-10,6006,SS-028864-PV1,Control,0.0
2026-01-10,363,SS-015324-PV1,Control,0.0
2026-01-10,5110,SS-019958-PV1,Control,0.0
2026-01-10,1413,SS-001335-PV1,Control,0.0
2026-01-10,1604,SS-016978-PV1,Control,0.0
2026-01-10,1935,SS-010583-PV1,Control,0.0
2026-01-10,1604,SS-016979-PV1,Control,0.0
2026-01-10,2185,SS-006112-PV1,Control,0.0
2026-01-10,3233,SS-003603-PV1,Control,0.0
2026-01-10,3108,SS-022729-PV1,Control,0.0
2026-01-10,3077,SS-003362-PV1,Control,0.0
2026-01-10,3022,SS-007184-PV1,Control,0.0
2026-01-10,5671,SS-026485-PV1,Control,0.0
2026-01-10,5994,SS-016203-PV1,Control,0.0
2026-01-10,2199,SS-006946-PV1,Control,0.0
2026-01-10,3233,SS-022783-PV1,Control,0.0
2026-01-10,1604,SS-016887-PV1,Control,0.0
2026-01-10,1736,SS-030217-PV1,Control,0.0
2026-01-10,3630,SS-003623-PV1,Control,0.0
2026-01-10,486,SS-009182-PV1,Control,0.0
2026-01-10,5110,SS-009197-PV1,Control,0.0
2026-01-10,5994,SS-010889-PV1,Control,0.0
2026-01-10,363,SS-015320-PV1,Control,0.0
2026-01-10,3108,SS-004145-PV1,Control,0.0
2026-01-10,3108,SS-004126-PV1,Control,0.0
2026-01-10,5110,SS-009195-PV1,Control,0.0
2026-01-10,5418,SS-019883-PV1,Control,0.0
2026-01-10,1713,SS-011285-PV1,Control,0.0
2026-01-10,1413,SS-025733-PV1,Control,0.0
2026-01-10,1736,SS-007784-PV1,Control,0.0
2026-01-10,3630,SS-012463-PV1,Control,0.0
2026-01-10,3022,SS-007185-PV1,Control,0.0
2026-01-10,1736,SS-007786-PV1,Control,0.0
2026-01-10,5994,SS-012902-PV1,Control,0.0
2026-01-10,3108,SS-006869-PV1,Control,0.0
2026-01-10,3108,SS-006868-PV1,Control,0.0
2026-01-10,2653,SS-031580-PV1,Control,0.0
2026-01-10,3108,SS-022731-PV1,Control,0.0
2026-01-10,5110,SS-007958-PV1,Control,0.0
2026-01-10,5418,SS-029527-PV1,Control,0.0
2026-01-10,1713,SS-015034-PV1,Control,0.0
2026-01-10,3233,SS-022805-PV1,Control,0.0
2026-01-10,5687,SS-004737-PV1,Control,0.0
